Income,Living_Standards,Homeownership_Status,Location,Work_Experience,Type_of_Housing,Number_of_Dependents,Household_Size,Age,Employment_Status
70526,Medium,Own,Urban,49,Apartment,2,4,67,Part-time
66148,Low,Rent,Urban,29,Single-family home,0,1,65,Full-time
4164811,High,Rent,Urban,11,Townhouse,3,6,53,Self-employed
74864,Medium,Own,Urban,21,Single-family home,0,6,31,Full-time
4511098,High,Own,Urban,5,Apartment,4,1,57,Part-time
68108,Low,Own,Urban,21,Single-family home,3,1,53,Full-time
70202,Medium,Own,Urban,49,Single-family home,5,1,58,Part-time
8308430,High,Rent,Urban,32,Apartment,4,1,23,Full-time
67202,Low,Rent,Rural,0,Single-family home,0,3,49,Full-time
65950,Low,Rent,Urban,11,Townhouse,2,4,54,Full-time
9241886,High,Own,Urban,2,Single-family home,5,1,28,Full-time
220951,High,Rent,Urban,27,Townhouse,3,3,70,Part-time
426110,High,Rent,Urban,15,Townhouse,1,2,31,Part-time
72224,Medium,Own,Urban,37,Apartment,1,1,22,Part-time
41051,Low,Rent,Urban,18,Single-family home,3,4,41,Full-time
66768,Low,Own,Urban,11,Apartment,1,2,65,Self-employed
72678,Medium,Own,Urban,19,Townhouse,5,2,40,Full-time
6360811,High,Rent,Urban,5,Townhouse,4,4,29,Part-time
65916,Low,Own,Suburban,0,Single-family home,3,1,51,Full-time
72484,Medium,Rent,Urban,48,Apartment,0,7,31,Part-time
73852,Medium,Own,Suburban,41,Single-family home,2,4,53,Self-employed
74968,Medium,Own,Urban,48,Single-family home,2,2,43,Self-employed
68070,Low,Own,Urban,2,Apartment,1,5,36,Full-time
69830,Low,Own,Urban,38,Single-family home,1,5,36,Part-time
65874,Low,Own,Urban,47,Apartment,3,4,28,Full-time
2029283,High,Rent,Rural,35,Apartment,5,2,36,Self-employed
72840,Medium,Own,Urban,33,Apartment,1,7,31,Full-time
37404,Low,Rent,Urban,13,Single-family home,4,2,62,Full-time
171792,High,Rent,Urban,30,Apartment,2,4,41,Part-time
71538,Medium,Own,Urban,28,Single-family home,2,3,28,Self-employed
6821747,High,Own,Urban,18,Apartment,1,2,54,Part-time
161705,High,Own,Urban,39,Single-family home,5,6,46,Full-time
928036,High,Rent,Urban,4,Single-family home,4,7,31,Full-time
70562,Medium,Own,Urban,38,Single-family home,5,6,59,Full-time
70252,Medium,Own,Urban,42,Single-family home,5,6,43,Self-employed
303226,High,Rent,Urban,13,Apartment,0,7,62,Full-time
73552,Medium,Own,Urban,47,Single-family home,0,6,52,Full-time
74378,Medium,Own,Urban,2,Single-family home,0,6,52,Full-time
789178,High,Own,Urban,8,Apartment,1,5,31,Full-time
38219,Low,Rent,Urban,8,Apartment,0,2,68,Self-employed
1612017,High,Own,Urban,35,Townhouse,0,4,28,Full-time
115741,Medium,Own,Urban,41,Townhouse,3,3,40,Full-time
75372,Medium,Own,Suburban,26,Single-family home,2,5,56,Self-employed
69350,Low,Rent,Suburban,13,Single-family home,2,6,61,Full-time
66700,Low,Rent,Urban,41,Townhouse,2,7,28,Full-time
66618,Low,Rent,Suburban,49,Apartment,2,3,57,Self-employed
74180,Medium,Own,Urban,4,Townhouse,0,7,63,Full-time
74794,Medium,Rent,Suburban,46,Townhouse,1,3,40,Self-employed
69642,Low,Own,Suburban,24,Apartment,0,3,34,Full-time
68196,Low,Rent,Urban,17,Apartment,2,6,59,Full-time
72064,Medium,Own,Urban,27,Apartment,2,5,46,Full-time
66816,Low,Own,Urban,10,Single-family home,3,5,47,Full-time
68636,Low,Rent,Suburban,25,Single-family home,1,5,38,Self-employed
74094,Medium,Own,Urban,23,Apartment,2,1,43,Full-time
70032,Medium,Own,Urban,27,Townhouse,1,2,61,Part-time
193609,High,Rent,Suburban,40,Apartment,3,6,70,Full-time
72278,Medium,Rent,Urban,9,Apartment,3,5,43,Full-time
166770,High,Own,Urban,16,Apartment,2,5,21,Part-time
64156,Low,Rent,Suburban,32,Single-family home,2,7,43,Part-time
69794,Low,Own,Urban,12,Single-family home,1,5,54,Full-time
68924,Low,Own,Urban,24,Single-family home,3,4,66,Full-time
71004,Medium,Own,Urban,43,Townhouse,3,1,63,Part-time
73890,Medium,Own,Urban,27,Townhouse,4,1,49,Self-employed
67366,Low,Own,Urban,21,Single-family home,4,4,25,Full-time
69546,Low,Own,Suburban,35,Single-family home,0,6,69,Full-time
64900,Low,Own,Urban,48,Apartment,3,1,49,Part-time
71492,Medium,Own,Urban,34,Apartment,4,4,60,Self-employed
160961,High,Own,Urban,46,Single-family home,3,3,64,Full-time
100645,Medium,Rent,Urban,48,Apartment,5,3,47,Self-employed
408416,High,Rent,Urban,38,Single-family home,2,3,20,Part-time
68538,Low,Own,Urban,16,Single-family home,4,7,48,Part-time
33495,Low,Rent,Urban,21,Apartment,5,5,21,Self-employed
69342,Low,Own,Suburban,31,Single-family home,4,3,36,Full-time
68662,Low,Own,Urban,38,Apartment,4,4,30,Full-time
150067,High,Own,Urban,48,Single-family home,1,1,32,Self-employed
813740,High,Own,Urban,20,Apartment,4,6,49,Part-time
66836,Low,Own,Urban,9,Apartment,3,1,21,Full-time
71542,Medium,Own,Urban,23,Single-family home,2,6,49,Part-time
1866753,High,Own,Urban,36,Apartment,5,3,20,Part-time
82733,Medium,Own,Urban,43,Townhouse,5,5,52,Full-time
814795,High,Rent,Urban,29,Townhouse,4,6,42,Part-time
70986,Medium,Own,Urban,25,Single-family home,0,6,26,Full-time
6366832,High,Own,Urban,24,Apartment,4,7,68,Part-time
69836,Low,Own,Urban,44,Single-family home,3,3,51,Self-employed
1884378,High,Own,Urban,10,Single-family home,0,7,44,Part-time
31820,Low,Rent,Urban,3,Townhouse,5,4,31,Part-time
67228,Low,Rent,Rural,43,Apartment,0,6,39,Self-employed
39605,Low,Rent,Suburban,9,Apartment,2,2,24,Part-time
6515676,High,Own,Urban,39,Single-family home,2,1,62,Self-employed
75174,Medium,Own,Urban,44,Apartment,4,6,34,Part-time
69352,Low,Own,Urban,35,Single-family home,4,2,62,Self-employed
75354,Medium,Rent,Urban,5,Single-family home,4,2,26,Full-time
68180,Low,Own,Urban,23,Townhouse,3,2,38,Full-time
152605,High,Rent,Urban,19,Townhouse,5,1,31,Full-time
70206,Medium,Own,Urban,29,Apartment,1,3,67,Full-time
69074,Low,Own,Urban,39,Apartment,3,7,62,Full-time
75312,Medium,Rent,Rural,4,Apartment,2,5,18,Part-time
558438,High,Rent,Urban,24,Single-family home,2,7,30,Part-time
65642,Low,Own,Urban,29,Apartment,4,2,68,Full-time
9519316,High,Rent,Urban,43,Single-family home,4,3,18,Self-employed
73292,Medium,Rent,Urban,14,Apartment,2,7,69,Full-time
69898,Low,Own,Urban,41,Apartment,2,3,30,Full-time
2957043,High,Own,Urban,7,Apartment,0,7,41,Full-time
70794,Medium,Rent,Urban,0,Single-family home,5,3,62,Full-time
72130,Medium,Rent,Urban,47,Apartment,1,5,40,Full-time
154319,High,Own,Urban,38,Single-family home,5,7,20,Full-time
4864026,High,Own,Urban,15,Single-family home,5,7,55,Part-time
70010,Medium,Own,Urban,7,Townhouse,3,5,34,Full-time
74462,Medium,Rent,Urban,12,Apartment,3,6,36,Full-time
69738,Low,Rent,Suburban,36,Apartment,1,2,34,Part-time
65660,Low,Own,Urban,44,Apartment,4,3,58,Full-time
65250,Low,Own,Urban,4,Apartment,4,2,19,Full-time
5710217,High,Own,Rural,29,Single-family home,2,1,39,Self-employed
75847,Medium,Own,Suburban,10,Townhouse,0,3,28,Part-time
73436,Medium,Own,Suburban,24,Townhouse,2,6,66,Full-time
73050,Medium,Own,Urban,17,Single-family home,0,4,25,Part-time
3548572,High,Rent,Urban,37,Single-family home,2,3,58,Full-time
73164,Medium,Rent,Urban,38,Single-family home,2,6,18,Full-time
1520874,High,Rent,Suburban,25,Single-family home,1,6,37,Part-time
71866,Medium,Rent,Urban,15,Single-family home,3,7,20,Self-employed
68662,Low,Own,Suburban,35,Townhouse,1,1,26,Part-time
457352,High,Rent,Urban,23,Townhouse,3,7,53,Part-time
70014,Medium,Own,Urban,14,Apartment,2,3,59,Full-time
45652,Low,Own,Urban,11,Apartment,5,2,32,Part-time
161994,High,Own,Rural,3,Single-family home,0,6,35,Full-time
2611015,High,Rent,Urban,22,Townhouse,5,5,39,Self-employed
65946,Low,Own,Urban,48,Apartment,4,1,66,Part-time
293587,High,Rent,Urban,14,Townhouse,2,4,24,Full-time
69212,Low,Own,Urban,40,Apartment,3,3,29,Self-employed
4122386,High,Own,Urban,2,Apartment,1,4,53,Full-time
71764,Medium,Own,Urban,25,Apartment,0,5,41,Full-time
201683,High,Rent,Urban,44,Apartment,3,7,53,Part-time
684145,High,Rent,Rural,39,Single-family home,5,6,64,Full-time
71586,Medium,Own,Urban,34,Single-family home,0,1,46,Self-employed
68066,Low,Rent,Urban,48,Townhouse,0,6,38,Full-time
65220,Low,Own,Urban,47,Single-family home,3,2,55,Self-employed
75000,Medium,Own,Rural,0,Apartment,0,3,51,Part-time
66984,Low,Rent,Rural,24,Single-family home,0,2,36,Self-employed
90943,Medium,Own,Urban,50,Single-family home,3,1,30,Self-employed
5153715,High,Own,Suburban,18,Apartment,3,2,31,Self-employed
64986,Low,Own,Rural,50,Apartment,0,1,67,Part-time
323809,High,Rent,Urban,31,Townhouse,3,1,23,Part-time
8738717,High,Rent,Urban,41,Townhouse,4,5,38,Full-time
68448,Low,Own,Suburban,35,Townhouse,5,5,52,Full-time
31199,Low,Own,Urban,46,Apartment,3,2,22,Full-time
65598,Low,Rent,Urban,24,Apartment,0,4,49,Self-employed
1616602,High,Own,Urban,15,Apartment,5,4,36,Self-employed
67266,Low,Own,Urban,13,Single-family home,0,6,21,Part-time
67282,Low,Own,Urban,30,Single-family home,5,2,62,Full-time
68332,Low,Rent,Rural,0,Single-family home,4,4,20,Full-time
73038,Medium,Own,Urban,38,Single-family home,2,2,66,Part-time
87643,Medium,Own,Urban,19,Townhouse,1,1,40,Full-time
3165470,High,Rent,Rural,48,Apartment,5,2,18,Self-employed
110046,Medium,Rent,Urban,47,Apartment,5,1,53,Full-time
61777,Low,Rent,Urban,20,Single-family home,1,2,68,Part-time
3756125,High,Rent,Urban,39,Single-family home,1,3,60,Full-time
72540,Medium,Own,Urban,1,Townhouse,0,6,38,Full-time
780420,High,Own,Suburban,21,Apartment,0,2,65,Part-time
74964,Medium,Rent,Urban,7,Apartment,3,6,29,Full-time
72518,Medium,Own,Urban,33,Single-family home,4,3,48,Full-time
54962,Low,Rent,Urban,14,Single-family home,0,1,19,Part-time
65222,Low,Rent,Urban,15,Apartment,0,7,43,Full-time
75458,Medium,Own,Suburban,28,Single-family home,5,3,43,Full-time
66036,Low,Own,Urban,11,Apartment,5,7,70,Part-time
56733,Low,Own,Rural,10,Apartment,5,3,20,Self-employed
74994,Medium,Own,Suburban,26,Townhouse,0,6,58,Full-time
73830,Medium,Own,Urban,7,Apartment,5,6,22,Part-time
72638,Medium,Rent,Urban,36,Townhouse,3,5,39,Full-time
65588,Low,Rent,Urban,39,Apartment,3,6,30,Part-time
212025,High,Rent,Rural,13,Single-family home,4,5,58,Full-time
67464,Low,Own,Urban,50,Townhouse,0,3,40,Full-time
72184,Medium,Own,Urban,15,Single-family home,2,7,55,Full-time
75388,Medium,Rent,Suburban,30,Apartment,3,2,50,Part-time
71316,Medium,Own,Urban,3,Apartment,3,6,29,Self-employed
70646,Medium,Own,Urban,9,Single-family home,4,6,64,Full-time
65444,Low,Own,Suburban,34,Townhouse,5,5,66,Full-time
73536,Medium,Own,Urban,35,Townhouse,4,5,40,Full-time
177371,High,Rent,Urban,24,Apartment,3,4,40,Part-time
2480059,High,Rent,Suburban,41,Single-family home,5,6,59,Full-time
69492,Low,Own,Urban,16,Townhouse,1,2,54,Full-time
757738,High,Rent,Urban,40,Apartment,5,7,53,Full-time
72546,Medium,Own,Urban,20,Apartment,2,4,43,Full-time
72422,Medium,Rent,Urban,13,Townhouse,4,3,40,Self-employed
69002,Low,Rent,Urban,28,Townhouse,3,6,38,Full-time
8369506,High,Own,Rural,41,Apartment,3,7,42,Full-time
5570721,High,Rent,Urban,22,Single-family home,3,5,52,Self-employed
1045120,High,Rent,Suburban,27,Single-family home,3,6,54,Full-time
6313873,High,Own,Urban,14,Single-family home,5,2,45,Part-time
74054,Medium,Rent,Urban,45,Single-family home,3,7,52,Full-time
75122,Medium,Rent,Urban,28,Townhouse,2,6,49,Full-time
69302,Low,Rent,Urban,35,Townhouse,5,1,32,Full-time
73764,Medium,Own,Urban,25,Apartment,4,6,32,Full-time
73180,Medium,Own,Urban,19,Apartment,1,3,63,Part-time
265868,High,Own,Urban,2,Apartment,4,4,67,Full-time
5908245,High,Own,Rural,41,Apartment,5,7,50,Full-time
68542,Low,Own,Urban,8,Townhouse,0,5,35,Full-time
72964,Medium,Own,Urban,19,Single-family home,0,1,39,Part-time
522930,High,Rent,Urban,11,Single-family home,4,7,60,Part-time
378672,High,Rent,Urban,38,Single-family home,1,1,62,Part-time
68532,Low,Rent,Rural,40,Townhouse,4,7,36,Full-time
67134,Low,Own,Urban,37,Townhouse,2,6,19,Part-time
71180,Medium,Own,Urban,39,Apartment,0,3,67,Full-time
431484,High,Rent,Suburban,31,Apartment,3,3,63,Part-time
67578,Low,Own,Urban,22,Single-family home,4,5,64,Part-time
74528,Medium,Own,Urban,49,Apartment,0,1,39,Part-time
72780,Medium,Own,Urban,45,Townhouse,5,6,21,Full-time
72156,Medium,Rent,Suburban,43,Apartment,1,3,23,Full-time
74026,Medium,Own,Urban,45,Apartment,3,7,27,Part-time
66040,Low,Own,Urban,43,Single-family home,3,7,27,Self-employed
2744513,High,Rent,Urban,38,Single-family home,0,1,34,Full-time
212127,High,Rent,Urban,21,Townhouse,5,7,33,Full-time
69900,Low,Own,Urban,18,Single-family home,2,5,28,Full-time
73552,Medium,Own,Urban,44,Townhouse,1,4,44,Part-time
75048,Medium,Rent,Urban,6,Apartment,2,6,18,Self-employed
2995811,High,Rent,Suburban,13,Apartment,0,5,49,Self-employed
7600539,High,Own,Urban,6,Townhouse,4,6,21,Full-time
73234,Medium,Own,Suburban,41,Single-family home,1,4,23,Self-employed
67442,Low,Rent,Suburban,27,Single-family home,0,2,68,Full-time
45629,Low,Own,Suburban,31,Single-family home,2,1,24,Self-employed
48094,Low,Rent,Rural,6,Apartment,2,1,47,Self-employed
73464,Medium,Rent,Urban,43,Single-family home,0,7,50,Full-time
66941,Low,Own,Urban,45,Single-family home,2,1,34,Self-employed
3308026,High,Own,Suburban,27,Apartment,5,2,32,Full-time
136986,Medium,Rent,Rural,9,Single-family home,2,6,36,Part-time
84759,Medium,Rent,Rural,19,Apartment,0,2,53,Part-time
71188,Medium,Rent,Urban,26,Single-family home,5,7,27,Part-time
68718,Low,Rent,Urban,0,Apartment,0,3,51,Full-time
74170,Medium,Own,Urban,49,Single-family home,3,4,45,Self-employed
71056,Medium,Own,Suburban,21,Single-family home,1,6,20,Part-time
221671,High,Own,Urban,32,Single-family home,0,1,23,Full-time
66236,Low,Own,Urban,10,Single-family home,4,7,46,Self-employed
71302,Medium,Rent,Urban,36,Townhouse,0,4,25,Full-time
70742,Medium,Rent,Suburban,14,Single-family home,5,1,64,Part-time
5254469,High,Own,Urban,10,Apartment,1,1,51,Full-time
341305,High,Own,Urban,35,Single-family home,4,3,22,Full-time
70484,Medium,Own,Urban,48,Apartment,2,4,24,Full-time
73828,Medium,Own,Urban,29,Townhouse,2,1,25,Full-time
72732,Medium,Rent,Urban,44,Townhouse,5,1,36,Full-time
74850,Medium,Rent,Urban,11,Single-family home,1,5,20,Part-time
69012,Low,Rent,Suburban,3,Single-family home,0,6,43,Full-time
1422700,High,Rent,Urban,33,Apartment,3,6,53,Self-employed
65422,Low,Own,Urban,11,Single-family home,2,3,22,Self-employed
5726352,High,Own,Urban,33,Apartment,3,4,35,Part-time
419841,High,Rent,Urban,41,Apartment,5,2,52,Full-time
148108,Medium,Rent,Urban,11,Single-family home,1,3,18,Part-time
321241,High,Own,Rural,2,Single-family home,0,7,29,Full-time
8864254,High,Rent,Urban,9,Apartment,5,2,21,Full-time
74182,Medium,Own,Urban,34,Townhouse,3,6,36,Full-time
71636,Medium,Own,Urban,49,Apartment,3,1,22,Self-employed
398402,High,Rent,Urban,21,Single-family home,2,1,35,Full-time
2320130,High,Own,Suburban,16,Townhouse,2,5,23,Part-time
69416,Low,Rent,Urban,26,Townhouse,0,3,34,Part-time
75418,Medium,Own,Urban,16,Single-family home,0,6,18,Self-employed
219033,High,Rent,Suburban,9,Townhouse,4,5,43,Full-time
71314,Medium,Own,Suburban,19,Apartment,0,2,18,Full-time
71794,Medium,Own,Urban,46,Apartment,3,7,62,Full-time
73556,Medium,Own,Urban,32,Single-family home,5,3,66,Self-employed
74902,Medium,Own,Urban,19,Townhouse,5,4,19,Part-time
74630,Medium,Own,Urban,15,Single-family home,1,3,60,Part-time
3101205,High,Own,Suburban,25,Apartment,1,4,25,Full-time
919873,High,Own,Urban,46,Townhouse,1,6,18,Part-time
157770,High,Own,Urban,4,Apartment,0,2,35,Full-time
73564,Medium,Own,Urban,35,Apartment,5,1,55,Part-time
68466,Low,Own,Rural,40,Townhouse,3,6,54,Full-time
35539,Low,Rent,Rural,40,Single-family home,5,6,56,Full-time
66912,Low,Rent,Urban,40,Single-family home,0,6,59,Part-time
70626,Medium,Own,Suburban,24,Apartment,3,3,43,Self-employed
6557800,High,Rent,Urban,11,Single-family home,2,7,32,Self-employed
437200,High,Rent,Rural,41,Apartment,2,4,54,Self-employed
180722,High,Own,Urban,2,Townhouse,0,5,21,Part-time
74122,Medium,Own,Urban,31,Single-family home,3,7,41,Full-time
73092,Medium,Own,Suburban,4,Apartment,2,6,28,Part-time
6454062,High,Own,Urban,9,Apartment,0,5,49,Full-time
2451608,High,Own,Urban,1,Townhouse,2,3,59,Full-time
519258,High,Own,Urban,6,Single-family home,5,3,42,Full-time
131761,Medium,Rent,Urban,31,Apartment,1,7,34,Full-time
71876,Medium,Own,Urban,43,Single-family home,0,3,22,Full-time
70050,Medium,Own,Urban,8,Single-family home,2,7,46,Full-time
72064,Medium,Own,Urban,10,Apartment,0,2,68,Part-time
466365,High,Rent,Urban,19,Apartment,2,2,44,Self-employed
70916,Medium,Own,Urban,0,Single-family home,1,4,64,Part-time
66942,Low,Own,Suburban,31,Apartment,5,7,25,Self-employed
34074,Low,Own,Urban,28,Single-family home,4,7,46,Self-employed
74824,Medium,Own,Urban,23,Apartment,5,4,31,Part-time
37821,Low,Own,Urban,35,Single-family home,2,7,52,Self-employed
75230,Medium,Own,Urban,30,Single-family home,1,1,23,Part-time
3617744,High,Rent,Urban,10,Apartment,4,4,30,Full-time
73944,Medium,Rent,Urban,30,Single-family home,5,1,34,Part-time
73706,Medium,Own,Urban,20,Townhouse,2,4,19,Part-time
66108,Low,Rent,Suburban,23,Apartment,3,2,64,Full-time
67914,Low,Rent,Urban,48,Townhouse,3,3,49,Full-time
1988361,High,Rent,Urban,44,Apartment,2,1,25,Full-time
9151633,High,Own,Urban,47,Single-family home,0,2,31,Self-employed
70060,Medium,Own,Urban,50,Apartment,3,7,21,Full-time
73598,Medium,Own,Urban,6,Townhouse,1,7,64,Part-time
71840,Medium,Rent,Urban,42,Single-family home,3,1,23,Full-time
67588,Low,Own,Urban,35,Single-family home,5,5,28,Full-time
69306,Low,Rent,Urban,30,Townhouse,2,5,50,Full-time
86257,Medium,Rent,Urban,10,Single-family home,0,7,26,Full-time
58813,Low,Own,Rural,37,Townhouse,0,3,40,Full-time
73868,Medium,Own,Urban,13,Townhouse,2,2,32,Part-time
67218,Low,Own,Urban,13,Single-family home,2,2,48,Self-employed
70734,Medium,Own,Urban,12,Single-family home,5,1,57,Part-time
70046,Medium,Rent,Suburban,33,Single-family home,5,2,18,Full-time
3998258,High,Rent,Suburban,8,Townhouse,1,1,41,Part-time
806633,High,Own,Urban,11,Apartment,4,5,51,Full-time
74430,Medium,Own,Urban,16,Single-family home,5,6,18,Full-time
72044,Medium,Own,Urban,13,Apartment,0,6,32,Full-time
74282,Medium,Rent,Suburban,47,Single-family home,1,7,64,Full-time
2864723,High,Rent,Urban,8,Single-family home,2,4,38,Self-employed
71358,Medium,Own,Suburban,14,Single-family home,0,6,65,Self-employed
73082,Medium,Own,Urban,50,Single-family home,5,5,22,Part-time
3314559,High,Own,Rural,6,Townhouse,0,7,48,Part-time
65544,Low,Own,Urban,11,Apartment,1,1,35,Full-time
3763947,High,Rent,Urban,45,Single-family home,1,5,57,Full-time
65558,Low,Own,Urban,7,Single-family home,5,5,27,Part-time
1806559,High,Rent,Urban,11,Apartment,5,4,70,Part-time
71758,Medium,Own,Urban,50,Single-family home,3,4,57,Part-time
2351927,High,Rent,Urban,32,Single-family home,1,2,29,Full-time
826700,High,Own,Urban,10,Apartment,3,5,55,Full-time
1461334,High,Rent,Urban,16,Apartment,4,3,19,Part-time
1127238,High,Rent,Urban,13,Single-family home,5,5,52,Self-employed
7277662,High,Own,Urban,28,Single-family home,5,5,66,Part-time
66598,Low,Own,Urban,48,Single-family home,2,4,49,Part-time
73620,Medium,Rent,Urban,0,Apartment,5,7,39,Full-time
70180,Medium,Rent,Rural,39,Apartment,5,1,34,Self-employed
65076,Low,Rent,Urban,48,Apartment,0,3,62,Full-time
70574,Medium,Rent,Suburban,43,Townhouse,0,6,37,Part-time
47106,Low,Rent,Urban,10,Apartment,0,6,31,Full-time
92291,Medium,Own,Suburban,5,Apartment,3,1,59,Part-time
67142,Low,Own,Urban,16,Apartment,1,2,52,Part-time
1182435,High,Rent,Suburban,28,Townhouse,5,6,30,Full-time
716017,High,Own,Urban,28,Apartment,5,7,37,Part-time
67140,Low,Own,Suburban,36,Townhouse,4,4,39,Full-time
8305548,High,Rent,Urban,1,Apartment,0,5,26,Part-time
44078,Low,Own,Suburban,1,Apartment,2,2,36,Full-time
495607,High,Own,Urban,35,Single-family home,1,1,22,Full-time
68674,Low,Own,Urban,20,Apartment,3,4,18,Part-time
41463,Low,Rent,Urban,7,Townhouse,5,7,41,Part-time
70042,Medium,Own,Urban,33,Single-family home,1,4,31,Full-time
2169636,High,Own,Urban,8,Single-family home,4,6,51,Full-time
73624,Medium,Rent,Urban,48,Apartment,5,3,26,Full-time
73956,Medium,Rent,Urban,1,Townhouse,4,2,60,Full-time
88309,Medium,Rent,Urban,1,Single-family home,3,5,44,Part-time
70048,Medium,Own,Urban,43,Townhouse,1,7,59,Full-time
73352,Medium,Own,Urban,33,Single-family home,4,2,37,Full-time
167419,High,Rent,Urban,3,Townhouse,2,3,42,Self-employed
65540,Low,Own,Urban,32,Apartment,1,5,54,Full-time
74106,Medium,Own,Suburban,23,Single-family home,0,1,60,Self-employed
114076,Medium,Rent,Suburban,14,Single-family home,4,4,58,Full-time
69216,Low,Own,Urban,28,Single-family home,3,5,56,Self-employed
72922,Medium,Own,Urban,31,Townhouse,5,6,20,Part-time
74126,Medium,Rent,Urban,18,Townhouse,1,6,31,Full-time
3414850,High,Own,Urban,28,Apartment,3,7,53,Part-time
72436,Medium,Own,Suburban,22,Single-family home,5,6,65,Part-time
85855,Medium,Rent,Suburban,8,Townhouse,2,7,52,Part-time
70730,Medium,Own,Urban,8,Townhouse,5,2,39,Full-time
3251441,High,Rent,Suburban,9,Townhouse,2,1,22,Full-time
75184,Medium,Own,Urban,16,Townhouse,3,7,18,Full-time
3732150,High,Own,Rural,22,Townhouse,1,2,52,Part-time
71122,Medium,Own,Urban,35,Townhouse,2,5,70,Full-time
972583,High,Rent,Urban,6,Single-family home,4,1,46,Full-time
1496841,High,Rent,Suburban,17,Apartment,5,6,44,Full-time
69744,Low,Own,Urban,27,Apartment,2,5,24,Full-time
67088,Low,Rent,Urban,35,Single-family home,2,4,21,Self-employed
2546518,High,Own,Urban,38,Single-family home,0,7,31,Self-employed
95151,Medium,Rent,Urban,13,Apartment,3,5,60,Full-time
363510,High,Rent,Urban,13,Apartment,1,5,38,Full-time
69228,Low,Own,Urban,33,Single-family home,1,6,47,Part-time
73564,Medium,Own,Urban,46,Single-family home,3,4,63,Part-time
70840,Medium,Own,Suburban,46,Single-family home,4,3,67,Full-time
66016,Low,Rent,Suburban,34,Townhouse,4,7,22,Self-employed
3354689,High,Own,Urban,10,Apartment,5,7,69,Self-employed
67536,Low,Own,Urban,6,Single-family home,1,1,69,Full-time
475017,High,Rent,Urban,42,Townhouse,5,2,29,Full-time
75002,Medium,Own,Suburban,50,Single-family home,3,7,41,Full-time
65570,Low,Own,Urban,50,Apartment,5,7,20,Full-time
66666,Low,Own,Urban,20,Townhouse,1,7,40,Full-time
73216,Medium,Own,Suburban,35,Townhouse,2,6,40,Self-employed
68704,Low,Own,Urban,32,Apartment,4,7,29,Full-time
36844,Low,Own,Urban,9,Townhouse,1,4,48,Full-time
67705,Low,Rent,Suburban,27,Single-family home,5,5,19,Full-time
71850,Medium,Own,Suburban,0,Apartment,3,2,23,Self-employed
5529432,High,Rent,Suburban,32,Single-family home,3,2,26,Full-time
254653,High,Own,Urban,44,Apartment,1,4,35,Full-time
67606,Low,Own,Suburban,20,Townhouse,1,5,38,Part-time
111478,Medium,Own,Rural,11,Apartment,0,2,25,Full-time
70766,Medium,Own,Suburban,48,Apartment,3,6,63,Part-time
67003,Low,Own,Suburban,5,Single-family home,5,7,37,Full-time
71748,Medium,Own,Urban,1,Single-family home,1,7,46,Full-time
67970,Low,Rent,Urban,48,Townhouse,0,6,41,Full-time
74618,Medium,Rent,Suburban,0,Apartment,1,1,44,Full-time
72588,Medium,Own,Suburban,28,Single-family home,3,3,42,Part-time
150681,High,Own,Rural,5,Apartment,4,6,62,Full-time
73374,Medium,Own,Urban,26,Apartment,2,1,66,Self-employed
158549,High,Rent,Urban,26,Apartment,2,4,22,Full-time
128788,Medium,Own,Suburban,15,Apartment,5,6,22,Full-time
4995199,High,Rent,Urban,7,Townhouse,1,1,69,Full-time
2640146,High,Own,Urban,14,Single-family home,3,6,28,Part-time
67668,Low,Own,Urban,30,Single-family home,5,3,69,Self-employed
2517506,High,Rent,Suburban,8,Townhouse,0,6,54,Full-time
68856,Low,Own,Urban,34,Apartment,2,2,23,Full-time
67828,Low,Own,Urban,17,Apartment,0,6,29,Part-time
9732313,High,Own,Urban,36,Apartment,0,6,43,Part-time
66102,Low,Rent,Urban,17,Single-family home,5,4,34,Full-time
73636,Medium,Own,Urban,40,Single-family home,5,4,39,Full-time
68914,Low,Own,Rural,14,Apartment,5,2,34,Full-time
66260,Low,Own,Suburban,30,Apartment,3,1,31,Full-time
73380,Medium,Own,Suburban,42,Single-family home,5,4,46,Part-time
68546,Low,Rent,Urban,35,Townhouse,1,4,59,Part-time
71456,Medium,Own,Urban,39,Single-family home,5,7,37,Part-time
64986,Low,Own,Urban,34,Single-family home,4,7,45,Full-time
69396,Low,Rent,Urban,49,Apartment,3,6,50,Self-employed
66342,Low,Own,Urban,35,Single-family home,1,4,58,Full-time
82327,Medium,Own,Urban,33,Apartment,5,3,68,Self-employed
73186,Medium,Own,Urban,16,Townhouse,5,1,19,Full-time
70136,Medium,Own,Urban,7,Single-family home,2,3,38,Full-time
924291,High,Rent,Urban,41,Single-family home,3,7,70,Part-time
207876,High,Own,Urban,15,Apartment,4,2,23,Part-time
742548,High,Rent,Suburban,18,Single-family home,3,6,36,Self-employed
68116,Low,Own,Urban,17,Single-family home,5,1,32,Full-time
5205293,High,Rent,Urban,33,Apartment,0,7,31,Full-time
538153,High,Rent,Rural,26,Apartment,1,2,67,Part-time
40919,Low,Rent,Urban,3,Single-family home,5,6,24,Self-employed
5886328,High,Own,Suburban,12,Single-family home,5,7,26,Full-time
64956,Low,Own,Urban,38,Single-family home,4,3,23,Full-time
68326,Low,Own,Urban,31,Apartment,4,5,63,Full-time
