Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income,Age_Group,Income_Category,Cluster
56,Master's,Technology,2,Urban,36,Single,Part-time,3,Own,Single-family home,Male,Public transit,70644,46-60,Medium,1
46,Bachelor's,Healthcare,1,Urban,12,Married,Full-time,3,Rent,Single-family home,Male,Biking,467216,46-60,High,2
59,Master's,Technology,3,Suburban,16,Married,Full-time,4,Rent,Apartment,Male,Public transit,501533,46-60,High,2
43,High School,Healthcare,1,Urban,4,Married,Full-time,5,Own,Townhouse,Male,Public transit,68376,31-45,Low,2
52,Bachelor's,Education,2,Suburban,20,Single,Self-employed,3,Rent,Townhouse,Male,Public transit,9192817,46-60,High,0
67,Master's,Healthcare,4,Urban,38,Married,Full-time,3,Own,Single-family home,Female,Public transit,74106,61-70,Medium,1
42,Bachelor's,Healthcare,2,Rural,19,Single,Self-employed,5,Own,Single-family home,Female,Public transit,66726,31-45,Low,2
41,Bachelor's,Education,0,Urban,6,Single,Full-time,2,Rent,Single-family home,Female,Public transit,70402,31-45,Medium,2
30,Doctorate,Healthcare,1,Urban,14,Married,Part-time,4,Rent,Townhouse,Female,Car,69972,18-30,Low,2
24,Bachelor's,Education,2,Urban,14,Married,Full-time,4,Rent,Townhouse,Male,Car,293587,18-30,High,2
53,Master's,Others,4,Rural,22,Single,Full-time,7,Rent,Townhouse,Female,Car,649595,46-60,High,2
62,Master's,Technology,4,Urban,32,Divorced,Self-employed,7,Own,Apartment,Male,Walking,74830,61-70,Medium,1
37,Master's,Technology,2,Urban,43,Married,Self-employed,1,Rent,Single-family home,Male,Car,74898,31-45,Medium,1
18,High School,Others,3,Urban,1,Single,Full-time,4,Rent,Single-family home,Female,Public transit,74538,,Medium,2
25,Bachelor's,Others,2,Rural,49,Married,Part-time,7,Rent,Apartment,Male,Public transit,67276,18-30,Low,1
63,Master's,Others,4,Urban,31,Married,Part-time,7,Own,Apartment,Female,Car,5685943,61-70,High,0
33,High School,Healthcare,2,Urban,14,Married,Full-time,1,Rent,Apartment,Male,Car,70712,31-45,Medium,2
31,High School,Technology,0,Suburban,6,Divorced,Full-time,2,Own,Townhouse,Female,Car,67356,31-45,Low,2
29,Bachelor's,Finance,3,Suburban,8,Married,Part-time,5,Own,Apartment,Female,Car,910400,18-30,High,2
68,High School,Finance,2,Suburban,27,Single,Full-time,3,Rent,Townhouse,Female,Car,66350,61-70,Low,1
40,Master's,Technology,4,Rural,21,Married,Full-time,6,Rent,Apartment,Male,Public transit,345839,31-45,High,2
32,Master's,Healthcare,2,Urban,2,Married,Self-employed,1,Own,Apartment,Female,Car,8201655,31-45,High,0
45,Bachelor's,Others,2,Urban,41,Married,Full-time,7,Own,Apartment,Male,Biking,66772,31-45,Low,1
51,High School,Technology,1,Urban,1,Single,Full-time,7,Rent,Single-family home,Male,Public transit,66310,46-60,Low,2
19,Master's,Education,2,Suburban,21,Divorced,Self-employed,6,Own,Single-family home,Female,Car,69952,18-30,Low,2
49,Bachelor's,Education,0,Suburban,24,Married,Full-time,6,Rent,Apartment,Male,Car,92572,46-60,Medium,2
40,Doctorate,Education,4,Rural,24,Married,Part-time,4,Rent,Townhouse,Male,Public transit,67370,31-45,Low,2
39,Bachelor's,Healthcare,5,Urban,31,Married,Full-time,7,Own,Townhouse,Male,Car,71170,31-45,Medium,1
68,Bachelor's,Education,1,Urban,43,Married,Self-employed,6,Own,Apartment,Male,Car,65068,61-70,Low,1
42,Bachelor's,Others,5,Urban,6,Single,Full-time,3,Own,Single-family home,Female,Biking,519258,31-45,High,2
39,Doctorate,Education,2,Urban,30,Married,Full-time,2,Own,Apartment,Female,Public transit,65980,31-45,Low,1
39,Bachelor's,Technology,3,Urban,36,Single,Full-time,5,Rent,Townhouse,Female,Biking,72638,31-45,Medium,1
66,Bachelor's,Finance,0,Suburban,3,Married,Full-time,1,Rent,Apartment,Male,Walking,78307,61-70,Medium,2
69,High School,Technology,0,Urban,32,Married,Self-employed,4,Own,Townhouse,Male,Public transit,4432941,61-70,High,0
59,Master's,Education,0,Urban,14,Married,Full-time,6,Own,Single-family home,Male,Public transit,66410,46-60,Low,2
23,Master's,Technology,1,Urban,8,Married,Full-time,6,Own,Single-family home,Male,Public transit,66612,18-30,Low,2
32,Bachelor's,Healthcare,2,Suburban,5,Single,Full-time,3,Own,Townhouse,Male,Biking,70596,31-45,Medium,2
60,Bachelor's,Healthcare,0,Urban,45,Married,Self-employed,3,Own,Single-family home,Female,Walking,414620,46-60,High,1
54,High School,Technology,2,Suburban,30,Divorced,Full-time,3,Rent,Apartment,Male,Public transit,354525,46-60,High,1
50,High School,Others,3,Urban,33,Married,Part-time,5,Rent,Single-family home,Male,Walking,68558,46-60,Low,1
25,High School,Finance,2,Urban,43,Single,Part-time,1,Own,Townhouse,Male,Public transit,68535,18-30,Low,1
70,High School,Healthcare,5,Urban,37,Divorced,Self-employed,5,Own,Apartment,Female,Car,69980,61-70,Low,1
61,Bachelor's,Education,2,Suburban,12,Married,Part-time,6,Own,Apartment,Female,Car,57289,61-70,Low,2
61,High School,Healthcare,2,Urban,35,Single,Full-time,4,Own,Townhouse,Female,Public transit,70106,61-70,Medium,1
22,High School,Technology,4,Rural,31,Married,Full-time,1,Own,Single-family home,Female,Public transit,8059738,18-30,High,0
56,Master's,Healthcare,5,Urban,21,Married,Full-time,2,Rent,Apartment,Female,Biking,83021,46-60,Medium,2
21,Bachelor's,Others,1,Urban,47,Single,Part-time,2,Own,Townhouse,Male,Biking,66920,18-30,Low,1
23,Bachelor's,Healthcare,2,Urban,28,Married,Full-time,6,Rent,Single-family home,Female,Car,1758550,18-30,High,1
62,Bachelor's,Healthcare,0,Urban,10,Single,Full-time,5,Rent,Townhouse,Female,Car,2783248,61-70,High,2
49,Bachelor's,Technology,4,Urban,5,Married,Full-time,5,Rent,Single-family home,Female,Biking,32450,46-60,Low,2
69,High School,Healthcare,2,Urban,4,Married,Self-employed,6,Rent,Single-family home,Female,Public transit,70856,61-70,Medium,2
47,Master's,Finance,4,Suburban,0,Divorced,Part-time,5,Own,Apartment,Male,Car,72462,46-60,Medium,2
64,High School,Others,1,Urban,50,Single,Full-time,2,Own,Single-family home,Male,Car,69794,61-70,Low,1
52,Bachelor's,Healthcare,4,Urban,38,Single,Full-time,2,Own,Townhouse,Male,Car,65018,46-60,Low,1
57,Bachelor's,Education,0,Urban,49,Married,Full-time,1,Rent,Townhouse,Female,Walking,74586,46-60,Medium,1
69,Master's,Others,2,Urban,9,Married,Full-time,6,Own,Apartment,Male,Car,6387420,61-70,High,0
33,Bachelor's,Finance,0,Urban,9,Divorced,Part-time,1,Own,Single-family home,Female,Public transit,70208,31-45,Medium,2
30,Bachelor's,Others,3,Rural,48,Single,Part-time,5,Rent,Single-family home,Female,Car,54038,18-30,Low,1
67,High School,Healthcare,4,Urban,23,Married,Self-employed,6,Own,Single-family home,Male,Walking,73316,61-70,Medium,2
59,Bachelor's,Healthcare,4,Suburban,6,Single,Self-employed,3,Rent,Single-family home,Female,Public transit,82352,46-60,Medium,2
47,Doctorate,Healthcare,4,Urban,21,Married,Full-time,1,Own,Apartment,Female,Walking,68672,46-60,Low,2
36,Master's,Education,5,Urban,20,Single,Self-employed,2,Own,Townhouse,Female,Public transit,73228,31-45,Medium,2
34,High School,Finance,1,Urban,21,Married,Part-time,7,Rent,Single-family home,Female,Public transit,1477303,31-45,High,2
36,Bachelor's,Healthcare,5,Urban,32,Single,Part-time,4,Own,Single-family home,Male,Biking,65084,31-45,Low,1
45,Master's,Technology,0,Urban,43,Married,Self-employed,7,Own,Townhouse,Female,Walking,68156,31-45,Low,1
43,Bachelor's,Healthcare,3,Urban,24,Single,Self-employed,3,Rent,Single-family home,Male,Car,5076701,31-45,High,0
54,Bachelor's,Finance,1,Suburban,30,Married,Self-employed,6,Rent,Apartment,Male,Public transit,71468,46-60,Medium,1
43,Master's,Healthcare,1,Rural,48,Married,Full-time,2,Own,Single-family home,Male,Walking,68630,31-45,Low,1
70,Master's,Healthcare,2,Urban,15,Single,Full-time,3,Rent,Apartment,Female,Public transit,105979,61-70,Medium,2
40,Bachelor's,Technology,3,Suburban,14,Single,Self-employed,4,Own,Townhouse,Female,Walking,68766,31-45,Low,2
26,Bachelor's,Healthcare,4,Urban,28,Single,Full-time,6,Rent,Apartment,Female,Public transit,66584,18-30,Low,1
29,Bachelor's,Technology,5,Urban,18,Single,Part-time,5,Own,Apartment,Male,Public transit,6467866,18-30,High,0
70,Master's,Education,4,Rural,16,Single,Part-time,3,Rent,Single-family home,Female,Public transit,64996,61-70,Low,2
18,High School,Others,2,Urban,25,Married,Part-time,4,Own,Apartment,Male,Public transit,677136,,High,1
18,High School,Technology,5,Suburban,35,Married,Full-time,7,Own,Apartment,Male,Public transit,70060,,Medium,1
64,Bachelor's,Technology,4,Urban,35,Married,Full-time,4,Own,Apartment,Female,Biking,66686,61-70,Low,1
51,High School,Others,0,Urban,34,Single,Self-employed,3,Own,Townhouse,Female,Car,41476,46-60,Low,1
49,Bachelor's,Others,4,Urban,39,Single,Full-time,7,Rent,Single-family home,Female,Public transit,238978,46-60,High,1
65,Bachelor's,Technology,5,Suburban,22,Married,Part-time,6,Own,Single-family home,Male,Biking,72436,61-70,Medium,2
42,Bachelor's,Technology,0,Urban,8,Married,Part-time,3,Own,Apartment,Female,Public transit,73482,31-45,Medium,2
57,Bachelor's,Technology,2,Urban,33,Single,Full-time,7,Own,Townhouse,Female,Car,217908,46-60,High,1
62,Master's,Education,2,Urban,50,Single,Full-time,3,Own,Single-family home,Male,Public transit,71612,61-70,Medium,1
70,High School,Others,0,Urban,17,Single,Part-time,3,Rent,Apartment,Female,Car,73320,61-70,Medium,2
18,Master's,Finance,5,Urban,15,Single,Full-time,5,Own,Single-family home,Female,Walking,67148,,Low,2
33,Master's,Healthcare,5,Suburban,31,Married,Full-time,7,Rent,Single-family home,Female,Public transit,2316482,31-45,High,1
56,Bachelor's,Healthcare,4,Suburban,27,Single,Self-employed,2,Own,Apartment,Female,Public transit,66684,46-60,Low,1
22,Bachelor's,Healthcare,2,Suburban,31,Divorced,Part-time,1,Own,Single-family home,Female,Public transit,68518,18-30,Low,1
39,Master's,Healthcare,2,Rural,49,Married,Self-employed,5,Own,Apartment,Female,Public transit,69896,31-45,Low,1
46,High School,Healthcare,0,Suburban,17,Married,Full-time,3,Own,Single-family home,Female,Public transit,74678,46-60,Medium,2
20,Bachelor's,Education,2,Rural,43,Single,Part-time,4,Rent,Single-family home,Female,Walking,63816,18-30,Low,1
29,Bachelor's,Healthcare,4,Urban,33,Single,Full-time,6,Own,Single-family home,Female,Biking,69104,18-30,Low,1
43,High School,Technology,2,Urban,28,Married,Full-time,5,Rent,Apartment,Male,Walking,274618,31-45,High,1
33,Master's,Healthcare,0,Rural,20,Single,Self-employed,1,Own,Apartment,Male,Walking,68110,31-45,Low,2
68,Master's,Healthcare,4,Urban,0,Divorced,Full-time,6,Rent,Single-family home,Male,Biking,67804,61-70,Low,2
54,Master's,Technology,3,Suburban,15,Single,Full-time,1,Rent,Townhouse,Female,Car,66730,46-60,Low,2
39,High School,Others,0,Urban,48,Married,Self-employed,7,Own,Apartment,Female,Car,65330,31-45,Low,1
46,High School,Technology,3,Suburban,32,Married,Self-employed,5,Own,Apartment,Male,Biking,75252,46-60,Medium,1
31,Bachelor's,Education,2,Urban,20,Married,Self-employed,4,Own,Apartment,Male,Car,73196,31-45,Medium,2
45,High School,Technology,4,Urban,34,Married,Full-time,7,Own,Single-family home,Male,Public transit,64986,31-45,Low,1
22,Bachelor's,Healthcare,2,Urban,26,Married,Full-time,4,Rent,Apartment,Female,Biking,158549,18-30,High,1
64,Bachelor's,Education,4,Urban,19,Divorced,Full-time,6,Rent,Single-family home,Male,Walking,68298,61-70,Low,2
66,Bachelor's,Healthcare,1,Rural,30,Single,Part-time,4,Own,Single-family home,Female,Public transit,5147688,61-70,High,0
47,Bachelor's,Technology,2,Urban,15,Single,Full-time,2,Own,Single-family home,Male,Biking,67190,46-60,Low,2
63,Bachelor's,Technology,2,Rural,13,Single,Full-time,4,Rent,Single-family home,Male,Public transit,572043,61-70,High,2
69,High School,Technology,2,Urban,47,Married,Part-time,1,Own,Single-family home,Male,Car,73928,61-70,Medium,1
22,Bachelor's,Healthcare,5,Rural,31,Single,Part-time,6,Own,Townhouse,Female,Public transit,3894078,18-30,High,0
29,Bachelor's,Finance,0,Urban,40,Single,Full-time,3,Rent,Apartment,Male,Public transit,75212,18-30,Medium,1
33,Bachelor's,Healthcare,5,Urban,31,Single,Self-employed,3,Own,Single-family home,Female,Public transit,71140,31-45,Medium,1
43,Master's,Healthcare,4,Urban,1,Married,Full-time,7,Rent,Apartment,Female,Walking,175474,31-45,High,2
43,Master's,Education,4,Rural,44,Married,Self-employed,1,Own,Apartment,Female,Public transit,8127788,31-45,High,0
65,Doctorate,Technology,4,Urban,21,Married,Self-employed,4,Rent,Apartment,Female,Car,73084,61-70,Medium,2
38,High School,Healthcare,0,Urban,36,Single,Full-time,3,Rent,Single-family home,Male,Public transit,4108639,31-45,High,0
56,High School,Technology,4,Urban,16,Married,Full-time,7,Own,Apartment,Female,Public transit,66018,46-60,Low,2
53,Bachelor's,Others,5,Urban,31,Married,Full-time,6,Own,Townhouse,Female,Biking,74826,46-60,Medium,1
50,Master's,Healthcare,5,Suburban,37,Married,Self-employed,1,Rent,Single-family home,Male,Public transit,66846,46-60,Low,1
47,Bachelor's,Technology,2,Urban,16,Single,Full-time,4,Own,Apartment,Female,Public transit,69132,46-60,Low,2
54,Master's,Healthcare,3,Urban,33,Single,Part-time,2,Own,Single-family home,Female,Car,72978,46-60,Medium,1
40,Bachelor's,Education,1,Rural,6,Divorced,Part-time,7,Rent,Apartment,Male,Biking,241498,31-45,High,2
27,Master's,Healthcare,4,Urban,28,Married,Full-time,3,Rent,Apartment,Male,Biking,222885,18-30,High,1
22,Master's,Others,0,Suburban,16,Single,Self-employed,6,Own,Single-family home,Male,Car,67254,18-30,Low,2
53,High School,Education,0,Urban,23,Divorced,Self-employed,4,Rent,Apartment,Male,Public transit,158110,46-60,High,2
51,Bachelor's,Finance,4,Rural,7,Single,Full-time,6,Rent,Apartment,Male,Car,69044,46-60,Low,2
69,Bachelor's,Healthcare,3,Urban,22,Married,Full-time,4,Rent,Single-family home,Female,Public transit,478752,61-70,High,2
48,High School,Finance,5,Suburban,32,Married,Full-time,6,Own,Single-family home,Female,Public transit,66878,46-60,Low,1
27,Bachelor's,Others,4,Urban,28,Single,Self-employed,3,Rent,Single-family home,Male,Car,843626,18-30,High,1
36,Bachelor's,Finance,0,Urban,18,Single,Full-time,4,Rent,Single-family home,Female,Public transit,67064,31-45,Low,2
49,High School,Others,1,Urban,4,Married,Self-employed,6,Own,Single-family home,Male,Car,71464,46-60,Medium,2
18,Bachelor's,Healthcare,3,Urban,36,Married,Full-time,5,Own,Townhouse,Male,Biking,65586,,Low,1
22,Bachelor's,Technology,4,Urban,22,Single,Full-time,5,Rent,Apartment,Female,Car,175610,18-30,High,2
62,High School,Technology,1,Urban,25,Single,Part-time,2,Own,Apartment,Female,Public transit,67696,61-70,Low,2
21,Bachelor's,Technology,4,Rural,23,Divorced,Full-time,1,Own,Single-family home,Female,Biking,66478,18-30,Low,2
33,High School,Others,3,Urban,20,Single,Self-employed,5,Own,Townhouse,Female,Car,66548,31-45,Low,2
41,Master's,Healthcare,0,Urban,32,Single,Full-time,5,Own,Single-family home,Male,Biking,68902,31-45,Low,1
33,High School,Healthcare,5,Urban,25,Married,Self-employed,2,Rent,Single-family home,Male,Biking,602583,31-45,High,1
19,Master's,Healthcare,5,Urban,9,Single,Self-employed,5,Own,Apartment,Female,Car,65018,18-30,Low,2
66,Bachelor's,Others,3,Urban,41,Single,Self-employed,5,Own,Single-family home,Female,Biking,66822,61-70,Low,1
45,High School,Others,2,Rural,28,Divorced,Full-time,7,Own,Single-family home,Female,Walking,560997,31-45,High,1
49,Bachelor's,Technology,5,Suburban,34,Divorced,Part-time,6,Own,Single-family home,Male,Biking,66440,46-60,Low,1
44,Bachelor's,Technology,4,Urban,27,Single,Full-time,3,Rent,Apartment,Female,Biking,277160,31-45,High,1
37,Bachelor's,Technology,1,Urban,11,Married,Self-employed,7,Rent,Single-family home,Female,Car,65528,31-45,Low,2
41,Bachelor's,Technology,1,Urban,43,Married,Full-time,2,Own,Single-family home,Male,Public transit,106368,31-45,Medium,1
29,Bachelor's,Healthcare,5,Urban,6,Married,Full-time,4,Rent,Apartment,Male,Walking,2097868,18-30,High,2
67,High School,Technology,3,Urban,15,Married,Self-employed,4,Own,Single-family home,Female,Car,70388,61-70,Medium,2
52,High School,Technology,3,Suburban,19,Single,Full-time,1,Rent,Apartment,Female,Public transit,62559,46-60,Low,2
50,Master's,Technology,3,Urban,28,Single,Full-time,7,Own,Apartment,Male,Walking,67924,46-60,Low,1
50,Bachelor's,Healthcare,1,Rural,34,Married,Part-time,1,Rent,Single-family home,Male,Public transit,504237,46-60,High,1
68,Bachelor's,Finance,0,Urban,27,Married,Self-employed,5,Rent,Townhouse,Female,Car,73768,61-70,Medium,1
60,Master's,Finance,1,Urban,6,Married,Full-time,5,Own,Apartment,Female,Biking,65972,46-60,Low,2
54,Bachelor's,Technology,0,Rural,21,Single,Self-employed,4,Own,Single-family home,Male,Public transit,68376,46-60,Low,2
29,Master's,Finance,3,Urban,13,Single,Full-time,2,Own,Townhouse,Female,Car,131230,18-30,Medium,2
20,Bachelor's,Technology,2,Urban,35,Married,Self-employed,7,Rent,Townhouse,Female,Biking,68274,18-30,Low,1
18,High School,Technology,1,Urban,9,Married,Full-time,3,Own,Apartment,Female,Biking,66600,,Low,2
50,Master's,Education,3,Urban,1,Single,Full-time,6,Rent,Single-family home,Female,Public transit,771537,46-60,High,2
57,Bachelor's,Finance,1,Urban,21,Married,Self-employed,1,Own,Apartment,Male,Public transit,39667,46-60,Low,2
27,Master's,Technology,3,Urban,15,Married,Full-time,5,Own,Apartment,Female,Biking,66450,18-30,Low,2
60,High School,Technology,1,Urban,34,Single,Full-time,1,Own,Single-family home,Male,Public transit,67218,46-60,Low,1
61,Bachelor's,Technology,4,Suburban,46,Single,Full-time,4,Own,Single-family home,Male,Car,70214,61-70,Medium,1
46,Master's,Finance,1,Urban,39,Single,Part-time,2,Rent,Apartment,Female,Biking,9686527,46-60,High,0
30,High School,Finance,4,Urban,47,Divorced,Full-time,7,Own,Single-family home,Male,Public transit,73848,18-30,Medium,1
29,Master's,Technology,0,Urban,10,Married,Full-time,4,Rent,Apartment,Male,Biking,849730,18-30,High,2
48,Bachelor's,Finance,1,Urban,42,Married,Full-time,3,Own,Single-family home,Male,Car,1059121,46-60,High,1
63,Bachelor's,Technology,0,Urban,42,Married,Full-time,2,Rent,Apartment,Female,Car,69868,61-70,Low,1
19,Bachelor's,Others,2,Urban,32,Single,Part-time,3,Own,Apartment,Female,Public transit,5532664,18-30,High,0
68,Master's,Finance,5,Urban,33,Single,Self-employed,3,Own,Apartment,Male,Biking,82327,61-70,Medium,1
67,High School,Healthcare,5,Urban,32,Married,Part-time,2,Own,Apartment,Female,Biking,2053628,61-70,High,1
52,High School,Finance,4,Suburban,18,Married,Full-time,3,Rent,Townhouse,Male,Biking,74294,46-60,Medium,2
40,Master's,Technology,1,Suburban,19,Single,Part-time,1,Rent,Single-family home,Male,Public transit,3960902,31-45,High,0
34,Master's,Others,5,Urban,9,Single,Full-time,5,Own,Townhouse,Male,Public transit,74560,31-45,Medium,2
43,High School,Finance,0,Urban,18,Married,Self-employed,2,Rent,Single-family home,Male,Car,67902,31-45,Low,2
25,Bachelor's,Healthcare,5,Urban,42,Married,Part-time,4,Own,Single-family home,Female,Public transit,69962,18-30,Low,1
46,Bachelor's,Education,5,Urban,11,Single,Full-time,4,Rent,Single-family home,Female,Biking,67130,46-60,Low,2
43,Bachelor's,Technology,3,Urban,9,Married,Full-time,5,Rent,Apartment,Female,Biking,72278,31-45,Medium,2
27,High School,Finance,5,Rural,6,Divorced,Part-time,4,Own,Apartment,Female,Car,70130,18-30,Medium,2
43,Bachelor's,Finance,0,Urban,39,Single,Part-time,5,Own,Single-family home,Male,Public transit,33186,31-45,Low,1
51,High School,Education,5,Rural,10,Married,Full-time,1,Own,Single-family home,Male,Walking,65326,46-60,Low,2
68,Master's,Technology,1,Urban,49,Married,Full-time,7,Own,Townhouse,Female,Biking,74294,61-70,Medium,1
58,Master's,Technology,5,Urban,15,Single,Part-time,7,Rent,Single-family home,Female,Car,165431,46-60,High,2
24,Bachelor's,Healthcare,2,Urban,32,Married,Full-time,4,Rent,Single-family home,Female,Public transit,2657918,18-30,High,1
21,High School,Healthcare,5,Suburban,37,Married,Part-time,4,Rent,Single-family home,Male,Car,42163,18-30,Low,1
70,High School,Education,4,Urban,16,Married,Full-time,1,Rent,Townhouse,Female,Biking,33942,61-70,Low,2
67,Bachelor's,Healthcare,3,Urban,44,Single,Full-time,4,Rent,Apartment,Female,Public transit,410272,61-70,High,1
62,Master's,Healthcare,0,Urban,24,Married,Full-time,4,Rent,Apartment,Male,Biking,1435138,61-70,High,2
28,Bachelor's,Healthcare,5,Suburban,41,Married,Part-time,1,Own,Apartment,Male,Car,2262913,18-30,High,1
46,Bachelor's,Others,5,Suburban,30,Single,Full-time,6,Own,Apartment,Male,Biking,1349066,46-60,High,1
53,Bachelor's,Healthcare,1,Urban,41,Single,Part-time,1,Own,Single-family home,Female,Car,68502,46-60,Low,1
42,Bachelor's,Healthcare,1,Urban,0,Divorced,Part-time,6,Own,Townhouse,Male,Walking,69716,31-45,Low,2
38,High School,Healthcare,4,Rural,38,Married,Part-time,1,Own,Apartment,Female,Biking,38792,31-45,Low,1
53,High School,Technology,3,Suburban,19,Married,Self-employed,7,Rent,Single-family home,Male,Car,4228472,46-60,High,0
27,High School,Technology,0,Urban,8,Single,Self-employed,6,Rent,Townhouse,Male,Public transit,71978,18-30,Medium,2
54,Bachelor's,Healthcare,0,Suburban,42,Married,Part-time,4,Rent,Townhouse,Female,Public transit,70516,46-60,Medium,1
26,Master's,Technology,0,Urban,1,Single,Part-time,5,Rent,Apartment,Male,Public transit,8305548,18-30,High,0
41,Master's,Finance,4,Urban,0,Single,Full-time,6,Own,Single-family home,Male,Car,66950,31-45,Low,2
52,High School,Education,4,Urban,43,Divorced,Self-employed,5,Own,Apartment,Male,Car,65502,46-60,Low,1
66,High School,Technology,5,Urban,38,Single,Self-employed,7,Rent,Single-family home,Male,Car,66580,61-70,Low,1
52,High School,Technology,3,Suburban,50,Married,Part-time,2,Own,Apartment,Male,Public transit,66760,46-60,Low,1
65,Bachelor's,Healthcare,0,Urban,4,Married,Full-time,2,Rent,Apartment,Female,Public transit,66818,61-70,Low,2
53,Bachelor's,Finance,0,Urban,11,Married,Part-time,7,Own,Apartment,Male,Biking,66784,46-60,Low,2
35,Bachelor's,Finance,5,Suburban,13,Married,Full-time,4,Rent,Single-family home,Female,Car,958967,31-45,High,2
66,High School,Technology,3,Suburban,38,Married,Full-time,4,Own,Apartment,Male,Biking,71568,61-70,Medium,1
56,High School,Education,3,Urban,31,Married,Part-time,5,Rent,Apartment,Female,Biking,8419355,46-60,High,0
49,High School,Others,3,Urban,39,Single,Self-employed,3,Rent,Apartment,Male,Public transit,107601,46-60,Medium,1
41,High School,Technology,1,Suburban,45,Single,Full-time,7,Own,Apartment,Female,Biking,70458,31-45,Medium,1
40,Master's,Healthcare,3,Suburban,43,Single,Full-time,2,Own,Single-family home,Female,Public transit,68738,31-45,Low,1
49,High School,Education,2,Suburban,8,Single,Full-time,5,Own,Single-family home,Male,Walking,279628,46-60,High,2
54,Bachelor's,Technology,4,Urban,41,Single,Self-employed,4,Own,Townhouse,Female,Car,3330183,46-60,High,1
29,Bachelor's,Finance,3,Urban,41,Single,Part-time,2,Own,Single-family home,Female,Public transit,67200,18-30,Low,1
66,Master's,Education,1,Suburban,32,Single,Part-time,2,Own,Apartment,Male,Public transit,6854057,61-70,High,0
30,Master's,Healthcare,2,Suburban,24,Single,Part-time,6,Rent,Townhouse,Female,Biking,3818906,18-30,High,0
40,Master's,Technology,1,Urban,37,Married,Part-time,2,Own,Apartment,Male,Public transit,68758,31-45,Low,1
42,High School,Others,1,Urban,13,Single,Full-time,7,Rent,Apartment,Male,Walking,68596,31-45,Low,2
52,Bachelor's,Healthcare,5,Suburban,8,Married,Full-time,4,Own,Single-family home,Male,Car,1175878,46-60,High,2
58,Master's,Finance,1,Urban,26,Married,Part-time,5,Own,Single-family home,Female,Public transit,31686,46-60,Low,1
47,High School,Technology,1,Urban,43,Single,Full-time,3,Own,Single-family home,Male,Car,75436,46-60,Medium,1
34,Bachelor's,Finance,0,Urban,18,Single,Full-time,4,Rent,Apartment,Male,Walking,3839043,31-45,High,0
66,Master's,Technology,4,Urban,24,Married,Part-time,2,Own,Single-family home,Female,Car,71942,61-70,Medium,2
37,Bachelor's,Education,5,Urban,31,Divorced,Full-time,6,Own,Single-family home,Female,Biking,68864,31-45,Low,1
65,High School,Technology,5,Urban,21,Single,Full-time,6,Own,Single-family home,Female,Biking,74898,61-70,Medium,2
42,High School,Others,0,Urban,28,Single,Full-time,7,Rent,Townhouse,Female,Walking,2936742,31-45,High,1
39,Bachelor's,Education,2,Rural,27,Single,Part-time,7,Rent,Single-family home,Female,Walking,72104,31-45,Medium,1
30,High School,Technology,0,Rural,43,Married,Full-time,1,Own,Single-family home,Male,Biking,67594,18-30,Low,1
36,Bachelor's,Healthcare,5,Rural,12,Divorced,Full-time,5,Own,Single-family home,Male,Public transit,165006,31-45,High,2
66,Master's,Healthcare,2,Suburban,27,Married,Part-time,4,Own,Single-family home,Female,Public transit,65020,61-70,Low,1
53,High School,Finance,5,Urban,2,Married,Part-time,2,Rent,Single-family home,Female,Car,41515,46-60,Low,2
29,Master's,Healthcare,3,Urban,29,Married,Full-time,7,Rent,Apartment,Male,Public transit,350894,18-30,High,1
58,Bachelor's,Finance,2,Urban,10,Single,Full-time,3,Own,Apartment,Male,Biking,73230,46-60,Medium,2
36,High School,Education,5,Urban,1,Married,Self-employed,6,Own,Single-family home,Female,Walking,72978,31-45,Medium,2
29,Master's,Others,0,Urban,49,Single,Full-time,2,Own,Apartment,Male,Car,68700,18-30,Low,1
26,Master's,Healthcare,5,Urban,49,Single,Part-time,2,Rent,Apartment,Male,Public transit,82154,18-30,Medium,1
24,Bachelor's,Healthcare,0,Rural,8,Single,Self-employed,4,Rent,Apartment,Female,Public transit,107243,18-30,Medium,2
45,Master's,Healthcare,2,Urban,32,Married,Full-time,6,Rent,Apartment,Male,Public transit,915503,31-45,High,1
31,Master's,Finance,0,Urban,25,Married,Full-time,3,Own,Townhouse,Male,Biking,65314,31-45,Low,1
48,Master's,Education,2,Urban,15,Married,Full-time,6,Rent,Apartment,Female,Car,65040,46-60,Low,2
69,Bachelor's,Healthcare,1,Urban,24,Single,Full-time,1,Own,Apartment,Female,Public transit,74884,61-70,Medium,2
36,Master's,Others,4,Rural,0,Single,Full-time,6,Rent,Single-family home,Male,Car,68110,31-45,Low,2
64,Doctorate,Others,2,Urban,20,Single,Part-time,6,Rent,Single-family home,Male,Public transit,68878,61-70,Low,2
33,Master's,Finance,1,Urban,19,Single,Part-time,4,Rent,Townhouse,Male,Walking,74884,31-45,Medium,2
70,High School,Healthcare,1,Rural,4,Married,Self-employed,6,Own,Single-family home,Male,Biking,399394,61-70,High,2
22,Bachelor's,Education,1,Urban,16,Single,Full-time,5,Rent,Apartment,Male,Public transit,75392,18-30,Medium,2
